Id,SalePrice
1461,140000
1462,140000
1463,140000
1464,140000
1465,185000
1466,185000
1467,140000
1468,178000
1469,140000
1470,110000
1471,190000
1472,140000
1473,135000
1474,140000
1475,140000
1476,240000
1477,190000
1478,250000
1479,240000
1480,240000
1481,240000
1482,185000
1483,185000
1484,140000
1485,140000
1486,185000
1487,240000
1488,140000
1489,140000
1490,140000
1491,190000
1492,135000
1493,155000
1494,230000
1495,140000
1496,190000
1497,185000
1498,140000
1499,140000
1500,140000
1501,140000
1502,140000
1503,190000
1504,140000
1505,135000
1506,190000
1507,140000
1508,180000
1509,140000
1510,140000
1511,140000
1512,135000
1513,140000
1514,135000
1515,140000
1516,140000
1517,140000
1518,135000
1519,140000
1520,135000
1521,135000
1522,140000
1523,135000
1524,135000
1525,135000
1526,140000
1527,135000
1528,135000
1529,145000
1530,140000
1531,110000
1532,115000
1533,140000
1534,115000
1535,140000
1536,140000
1537,115000
1538,140000
1539,140000
1540,140000
1541,140000
1542,140000
1543,135000
1544,140000
1545,140000
1546,140000
1547,140000
1548,140000
1549,140000
1550,140000
1551,140000
1552,115000
1553,135000
1554,135000
1555,190000
1556,135000
1557,135000
1558,140000
1559,140000
1560,140000
1561,135000
1562,135000
1563,110000
1564,140000
1565,140000
1566,190000
1567,135000
1568,190000
1569,140000
1570,135000
1571,135000
1572,140000
1573,160000
1574,110000
1575,140000
1576,215000
1577,140000
1578,155000
1579,140000
1580,140000
1581,140000
1582,135000
1583,140000
1584,189000
1585,140000
1586,135000
1587,135000
1588,145000
1589,135000
1590,140000
1591,135000
1592,140000
1593,135000
1594,135000
1595,135000
1596,155000
1597,135000
1598,135000
1599,140000
1600,140000
1601,140000
1602,140000
1603,145000
1604,275000
1605,155000
1606,140000
1607,135000
1608,250000
1609,140000
1610,135000
1611,140000
1612,135000
1613,135000
1614,140000
1615,135000
1616,140000
1617,140000
1618,135000
1619,140000
1620,145000
1621,135000
1622,145000
1623,140000
1624,140000
1625,140000
1626,140000
1627,190000
1628,230000
1629,140000
1630,190000
1631,190000
1632,190000
1633,140000
1634,140000
1635,190000
1636,174000
1637,135000
1638,190000
1639,174000
1640,140000
1641,140000
1642,140000
1643,250000
1644,181000
1645,190000
1646,140000
1647,175000
1648,110000
1649,135000
1650,140000
1651,135000
1652,140000
1653,140000
1654,140000
1655,140000
1656,140000
1657,140000
1658,140000
1659,140000
1660,140000
1661,140000
1662,250000
1663,250000
1664,260000
1665,192000
1666,240000
1667,240000
1668,250000
1669,230000
1670,320000
1671,240000
1672,240000
1673,230000
1674,250000
1675,230000
1676,140000
1677,230000
1678,240000
1679,240000
1680,190000
1681,240000
1682,240000
1683,174000
1684,140000
1685,180000
1686,140000
1687,140000
1688,185000
1689,178000
1690,190000
1691,190000
1692,190000
1693,140000
1694,190000
1695,140000
1696,190000
1697,140000
1698,140000
1699,250000
1700,140000
1701,190000
1702,135000
1703,250000
1704,140000
1705,230000
1706,140000
1707,190000
1708,140000
1709,240000
1710,185000
1711,140000
1712,250000
1713,140000
1714,140000
1715,140000
1716,140000
1717,140000
1718,140000
1719,185000
1720,173000
1721,135000
1722,135000
1723,140000
1724,140000
1725,185000
1726,140000
1727,140000
1728,140000
1729,155000
1730,140000
1731,135000
1732,110000
1733,110000
1734,135000
1735,140000
1736,140000
1737,140000
1738,135000
1739,181000
1740,250000
1741,140000
1742,140000
1743,155000
1744,190000
1745,140000
1746,140000
1747,190000
1748,185000
1749,140000
1750,140000
1751,140000
1752,135000
1753,145000
1754,140000
1755,140000
1756,140000
1757,140000
1758,140000
1759,135000
1760,140000
1761,140000
1762,190000
1763,140000
1764,140000
1765,140000
1766,190000
1767,190000
1768,140000
1769,135000
1770,135000
1771,140000
1772,135000
1773,140000
1774,135000
1775,135000
1776,110000
1777,135000
1778,140000
1779,140000
1780,140000
1781,135000
1782,140000
1783,135000
1784,135000
1785,135000
1786,135000
1787,135000
1788,135000
1789,135000
1790,135000
1791,145000
1792,135000
1793,155000
1794,140000
1795,135000
1796,140000
1797,135000
1798,145000
1799,140000
1800,140000
1801,135000
1802,135000
1803,140000
1804,140000
1805,140000
1806,135000
1807,140000
1808,140000
1809,140000
1810,135000
1811,140000
1812,135000
1813,140000
1814,110000
1815,140000
1816,110000
1817,135000
1818,140000
1819,135000
1820,140000
1821,140000
1822,135000
1823,110000
1824,135000
1825,135000
1826,110000
1827,140000
1828,135000
1829,140000
1830,135000
1831,140000
1832,135000
1833,140000
1834,140000
1835,250000
1836,140000
1837,100000
1838,140000
1839,140000
1840,135000
1841,135000
1842,135000
1843,135000
1844,140000
1845,140000
1846,140000
1847,140000
1848,135000
1849,110000
1850,140000
1851,140000
1852,135000
1853,140000
1854,140000
1855,140000
1856,140000
1857,135000
1858,135000
1859,135000
1860,140000
1861,135000
1862,190000
1863,140000
1864,140000
1865,140000
1866,250000
1867,181000
1868,250000
1869,140000
1870,173000
1871,250000
1872,174000
1873,240000
1874,140000
1875,140000
1876,140000
1877,173000
1878,250000
1879,135000
1880,140000
1881,140000
1882,185000
1883,185000
1884,181000
1885,140000
1886,230000
1887,140000
1888,140000
1889,174000
1890,135000
1891,140000
1892,135000
1893,140000
1894,135000
1895,140000
1896,140000
1897,155000
1898,135000
1899,135000
1900,135000
1901,140000
1902,140000
1903,135000
1904,140000
1905,190000
1906,140000
1907,155000
1908,140000
1909,140000
1910,140000
1911,140000
1912,155000
1913,135000
1914,135000
1915,275000
1916,140000
1917,140000
1918,140000
1919,140000
1920,140000
1921,250000
1922,190000
1923,185000
1924,190000
1925,185000
1926,260000
1927,135000
1928,140000
1929,135000
1930,140000
1931,140000
1932,135000
1933,140000
1934,140000
1935,140000
1936,140000
1937,181000
1938,145000
1939,190000
1940,185000
1941,181000
1942,140000
1943,190000
1944,290000
1945,240000
1946,190000
1947,230000
1948,180000
1949,190000
1950,135000
1951,190000
1952,180000
1953,140000
1954,135000
1955,135000
1956,215000
1957,140000
1958,250000
1959,110000
1960,135000
1961,140000
1962,140000
1963,140000
1964,135000
1965,140000
1966,140000
1967,155000
1968,140000
1969,190000
1970,140000
1971,140000
1972,250000
1973,174000
1974,230000
1975,140000
1976,190000
1977,260000
1978,240000
1979,230000
1980,185000
1981,140000
1982,140000
1983,174000
1984,173000
1985,140000
1986,140000
1987,140000
1988,178000
1989,215000
1990,185000
1991,140000
1992,155000
1993,174000
1994,215000
1995,178000
1996,185000
1997,240000
1998,190000
1999,190000
2000,185000
2001,140000
2002,140000
2003,185000
2004,140000
2005,181000
2006,140000
2007,250000
2008,140000
2009,140000
2010,181000
2011,155000
2012,140000
2013,140000
2014,140000
2015,185000
2016,140000
2017,155000
2018,140000
2019,135000
2020,135000
2021,110000
2022,180000
2023,140000
2024,180000
2025,140000
2026,190000
2027,140000
2028,140000
2029,155000
2030,230000
2031,140000
2032,190000
2033,190000
2034,140000
2035,140000
2036,140000
2037,140000
2038,140000
2039,140000
2040,190000
2041,140000
2042,250000
2043,145000
2044,140000
2045,190000
2046,135000
2047,135000
2048,135000
2049,135000
2050,140000
2051,140000
2052,140000
2053,145000
2054,110000
2055,135000
2056,140000
2057,140000
2058,140000
2059,140000
2060,140000
2061,190000
2062,140000
2063,135000
2064,135000
2065,140000
2066,174000
2067,140000
2068,135000
2069,135000
2070,135000
2071,135000
2072,135000
2073,170000
2074,190000
2075,135000
2076,140000
2077,140000
2078,135000
2079,140000
2080,135000
2081,140000
2082,145000
2083,135000
2084,135000
2085,135000
2086,140000
2087,135000
2088,140000
2089,110000
2090,135000
2091,135000
2092,140000
2093,140000
2094,140000
2095,140000
2096,110000
2097,135000
2098,140000
2099,140000
2100,135000
2101,140000
2102,140000
2103,140000
2104,140000
2105,140000
2106,135000
2107,135000
2108,140000
2109,140000
2110,140000
2111,140000
2112,135000
2113,140000
2114,140000
2115,140000
2116,115000
2117,140000
2118,140000
2119,140000
2120,160000
2121,110000
2122,140000
2123,140000
2124,140000
2125,135000
2126,140000
2127,140000
2128,140000
2129,140000
2130,140000
2131,135000
2132,140000
2133,140000
2134,135000
2135,140000
2136,135000
2137,135000
2138,135000
2139,140000
2140,135000
2141,140000
2142,135000
2143,135000
2144,135000
2145,135000
2146,140000
2147,140000
2148,135000
2149,135000
2150,190000
2151,140000
2152,140000
2153,140000
2154,110000
2155,140000
2156,190000
2157,140000
2158,215000
2159,174000
2160,174000
2161,190000
2162,155000
2163,140000
2164,250000
2165,140000
2166,135000
2167,230000
2168,190000
2169,155000
2170,200000
2171,135000
2172,140000
2173,140000
2174,185000
2175,250000
2176,240000
2177,181000
2178,174000
2179,140000
2180,140000
2181,145000
2182,190000
2183,140000
2184,140000
2185,140000
2186,140000
2187,140000
2188,155000
2189,140000
2190,135000
2191,135000
2192,110000
2193,135000
2194,135000
2195,135000
2196,140000
2197,135000
2198,140000
2199,135000
2200,140000
2201,135000
2202,135000
2203,140000
2204,135000
2205,145000
2206,190000
2207,230000
2208,155000
2209,190000
