Id,SalePrice
1461,114452.84910734068
1462,159795.58677139122
1463,180545.90412412758
1464,185364.1203068
1465,220678.77987725707
1466,168684.41114778747
1467,175443.5656734116
1468,153846.27885729843
1469,215557.4863996826
1470,109936.86595061491
1471,184702.9444291225
1472,97257.51197425846
1473,94983.59455281158
1474,149391.1867270223
1475,113293.11751791777
1476,355421.91928991245
1477,287415.7793233639
1478,304138.72560593695
1479,307166.63195446436
1480,475809.94814903056
1481,323246.7837311728
1482,219976.72109578177
1483,182085.941155141
1484,159509.7720443589
1485,187435.83128067094
1486,196183.25503925898
1487,333025.7921588429
1488,232715.76704252092
1489,213571.22180615284
1490,249935.42385304486
1491,196918.21348768577
1492,109725.56176834658
1493,192082.48777084658
1494,323206.11607104004
1495,291483.7605836388
1496,233989.76353598654
1497,174123.12863430264
1498,170503.67911496607
1499,174150.48247825762
1500,151802.01032198325
1501,201124.42760415561
1502,132037.5115296176
1503,310509.5193182733
1504,238499.1048481915
1505,228726.96766978735
1506,193075.7085532284
1507,262624.77455713856
1508,195826.5677326863
1509,153924.30617499165
1510,148470.20691261638
1511,174120.4011433837
1512,191544.87931122037
1513,147717.77439223893
1514,173324.4410048196
1515,209344.65359228675
1516,148050.1066704269
1517,187179.0103274535
1518,119325.40103261976
1519,232906.96286985558
1520,131900.02190989256
1521,135665.87565517798
1522,189479.90816352365
1523,110010.18605154078
1524,116370.87119064073
1525,111839.88639282831
1526,89457.53918775951
1527,102670.08128912479
1528,126470.3388150899
1529,161466.88353528362
1530,214366.6366985381
1531,144513.08446223533
1532,98595.10829471983
1533,182778.57468412886
1534,124966.3855831027
1535,153084.46854326292
1536,93352.55396062706
1537,52602.12727849296
1538,162696.32438392472
1539,199887.41933797067
1540,121560.02550858236
1541,133349.03720409994
1542,157938.3701115913
1543,211216.26828897442
1544,81944.42207862146
1545,120609.24033958337
1546,144227.9947910827
1547,158679.61290089006
1548,153723.28753163235
1549,132985.34334069444
1550,143622.55956728966
1551,110867.2601541722
1552,168596.11799030064
1553,166911.7747248056
1554,114999.7497971676
1555,160356.26432991936
1556,47024.87918029976
1557,118039.5772047959
1558,98230.21109286766
1559,56755.67338678567
1560,123697.63653264765
1561,138800.58704982663
1562,131286.25456276443
1563,130550.89401048876
1564,160806.33625187748
1565,155285.57914167165
1566,238644.40846326773
1567,66871.50268420228
1568,218173.27325063967
1569,121494.0465435728
1570,129693.76398817357
1571,92212.0310712033
1572,145516.3874904937
1573,286555.16888964
1574,137361.78898494353
1575,251146.07435306243
1576,235175.90584703116
1577,186511.96134738857
1578,139041.38743061828
1579,142357.2164838845
1580,186971.13495877106
1581,156597.1113510594
1582,120803.08646482427
1583,307430.095165145
1584,227540.08855057915
1585,131808.66968812176
1586,76603.05312973633
1587,93591.69892011886
1588,163719.90210209135
1589,103418.26357693935
1590,122593.66482245782
1591,98958.83198509773
1592,113413.13717192109
1593,127104.34099484421
1594,159512.03880204866
1595,120705.04889762693
1596,238601.31460763537
1597,202242.3735320156
1598,215092.0228357393
1599,203036.17747245065
1600,173467.13949508034
1601,49835.95940668386
1602,123177.43768377916
1603,52657.6352840942
1604,281191.9306429984
1605,237296.0356121912
1606,164635.85702882195
1607,164255.91220459202
1608,201668.85069154808
1609,203780.61388604634
1610,145946.21811147942
1611,128289.37855071493
1612,177423.42476644774
1613,159774.60038737243
1614,144983.00456671475
1615,97471.0199571494
1616,70487.87484951108
1617,75032.762575945
1618,128634.79603664007
1619,149687.89049491147
1620,181702.77128338162
1621,132677.21523282095
1622,139461.6626255297
1623,271220.52803640894
1624,215967.2427637321
1625,112902.59802527563
1626,169236.0412069006
1627,186834.5601514408
1628,283751.1336694334
1629,178323.1948738487
1630,368893.257293931
1631,255140.74187868636
1632,267620.5209072097
1633,179465.82756933267
1634,181516.93899958243
1635,173953.726743093
1636,144021.955979903
1637,196512.7510445807
1638,188814.7076123096
1639,171053.17497732677
1640,247170.2690290911
1641,172198.4070889562
1642,242148.43679303012
1643,222745.27904951095
1644,239872.04001646838
1645,225590.47116438753
1646,152783.96859847673
1647,142155.94489963807
1648,128031.3109582226
1649,128732.1713453146
1650,108167.51100253733
1651,105729.54613810102
1652,99095.96851099818
1653,93019.10519230273
1654,149664.70343233726
1655,138572.12790683238
1656,144984.709428043
1657,155974.7410250525
1658,149969.22957718035
1659,121411.63350628794
1660,150627.1374275823
1661,419863.0143155437
1662,383873.936636809
1663,362935.0552594857
1664,524975.3648428359
1665,307122.75011101423
1666,337284.0304999389
1667,360554.0202840102
1668,338561.53426957445
1669,305045.02530594426
1670,343534.16911699506
1671,296079.6538136229
1672,411375.19098604424
1673,308314.60179974907
1674,268578.1668120939
1675,216529.0227440804
1676,223230.95768260956
1677,233057.97920236655
1678,472705.646014347
1679,384629.43132922647
1680,324923.0040061545
1681,258202.95335222897
1682,331876.5556128806
1683,208556.19424348266
1684,176665.55090366548
1685,167226.62280620332
1686,154281.25331463583
1687,170401.13648627384
1688,185867.7128866522
1689,184800.22060042352
1690,193331.5757994264
1691,180904.99305620918
1692,240641.64266001992
1693,181124.4448963498
1694,175874.0027982773
1695,170151.7559473624
1696,277754.11332259537
1697,167241.1979830888
1698,346635.5441041335
1699,336675.9103300116
1700,269843.7451480428
1701,283193.89091923076
1702,240213.8205892787
1703,231854.89402764593
1704,275472.3865574533
1705,232350.17546919908
1706,179335.4428159797
1707,215717.6600453382
1708,210962.07709462557
1709,246500.84374947322
1710,222833.91768544528
1711,260931.89079174504
1712,265636.096390786
1713,273976.2436198193
1714,228973.4186143321
1715,210276.06197277806
1716,193257.33476637478
1717,179444.6495545128
1718,153585.077293128
1719,229473.81522595033
1720,253692.69271913532
1721,153231.77230941167
1722,120465.46131351241
1723,147620.0128786103
1724,226947.76498839154
1725,244576.07237231394
1726,186358.46604420734
1727,166201.68063421175
1728,155930.12552215985
1729,162882.3406558812
1730,153294.0767241997
